id,votes,rating,avg_0-18,num_0-18,avg_18-30,num_18-30,avg_30-45,num_30-45,avg_45up,num_45up
tt0000574,537,6.1,6,1,6.2,126,5.9,209,6.4,100
tt0001892,171,5.9,0,0,5.7,25,6,60,6.3,58
tt0002101,420,5.2,0,0,4.6,24,5.1,104,5.3,180
tt0002130,2019,7,7,2,7,429,7,783,7.1,430
tt0002199,438,5.7,0,0,5.7,38,5.6,156,5.9,147
tt0002423,709,6.8,0,0,6.5,65,6.6,264,7,255
tt0002445,241,6.2,0,0,5.9,34,6.3,84,6.2,64
tt0002452,187,6.7,0,0,7.2,29,6.7,98,6.6,35
tt0002461,211,5.5,0,0,5.1,16,5.5,88,5.8,62
tt0002646,310,6.7,0,0,6.2,36,6.7,114,7,89
tt0002844,1853,7,0,0,6.9,252,6.9,807,7.2,534
tt0003014,888,7.1,0,0,7,159,7,352,7.2,229
tt0003037,1295,7,0,0,6.8,152,6.9,541,7.1,411
tt0003131,112,6.7,0,0,6.2,20,6.6,40,7.3,31
tt0003165,1000,7,0,0,6.8,122,6.9,413,7.2,324
tt0003167,170,5.7,0,0,5.4,19,5.4,46,5.8,61
tt0003419,1645,6.5,0,0,6.5,255,6.5,684,6.5,413
tt0003471,527,6.1,0,0,5.5,51,5.8,161,6.4,214
tt0003489,458,6.2,0,0,6,41,5.9,136,6.5,178
tt0003637,357,6.5,0,0,6.3,57,6.2,120,6.8,108
tt0003643,1050,6.5,0,0,6.4,85,6.4,265,6.6,568
tt0003657,121,6.6,0,0,6.8,10,5.7,27,6.9,63
tt0003740,2838,7.1,0,0,7,424,7,1001,7.3,930
tt0003772,908,6.1,0,0,6,54,6.1,218,6.1,558
tt0003883,279,7.6,0,0,7.1,32,7.4,101,7.7,107
tt0003930,1112,7,0,0,6.8,125,6.9,468,7,360
tt0003952,885,6.9,0,0,6.8,110,6.7,368,7.1,280
tt0003973,181,5.9,0,0,5.7,26,5.5,61,6.3,54
tt0004026,1008,6.8,0,0,6.3,54,6.7,381,7.2,355
tt0004066,449,7,0,0,6.5,67,7,165,7.2,136
tt0004099,398,5.2,0,0,5.1,41,5.1,142,5.4,152
tt0004134,429,6.6,0,0,6.3,50,6.5,132,6.8,159
tt0004150,378,5.9,0,0,6,45,5.6,132,6.2,137
tt0004181,1195,6.1,0,0,6.3,99,6.3,334,5.8,590
tt0004457,354,5.5,0,0,4.9,38,5.3,118,6.1,131
tt0004465,921,6.4,0,0,5.8,60,6.4,204,6.4,561
tt0004635,802,5.8,0,0,5.8,56,5.5,177,6.1,444
tt0004681,154,6.3,0,0,5.9,21,5.8,52,6.8,55
tt0004707,3164,6.3,0,0,6.2,285,6.2,1044,6.5,1321
tt0004712,157,6.3,0,0,6.7,30,6.3,49,6.2,45
tt0004766,160,5.6,0,0,5.7,11,5.3,44,5.7,67
tt0004825,209,6.6,0,0,6.9,16,6.4,81,6.8,85
tt0004838,130,5.7,0,0,5.5,12,5.4,49,6.2,45
tt0004872,196,6.7,0,0,6.4,13,6.7,60,6.9,82
tt0004873,347,6.2,0,0,6.4,67,5.9,125,6.5,90
tt0004972,20885,6.4,3.9,13,6.2,3493,6.4,8147,6.8,4490
tt0005060,859,6.4,0,0,6.3,56,6.4,213,6.3,456
tt0005078,2217,6.6,0,0,6.4,308,6.5,788,7,677
tt0005149,218,6.1,0,0,7.2,9,5.5,53,6.2,117
tt0005339,728,5.8,0,0,5.6,79,5.8,242,6,260
tt0005402,172,6.5,0,0,6,3,5.8,44,6.8,96
tt0005529,242,6.9,0,0,6.8,36,6.7,96,7,79
tt0005557,270,6.6,0,0,6.6,30,6.4,81,6.8,105
tt0005719,124,5.7,0,0,5,8,4.9,34,6.1,56
tt0005809,300,6.1,0,0,7.6,22,6.5,149,4.5,59
tt0005916,751,7,0,0,6.9,99,6.9,292,7.1,237
tt0005951,535,6.9,8,1,6.9,105,6.8,203,6.8,128
tt0005960,1047,6.9,0,0,6.6,113,6.8,339,7.1,393
tt0006206,3936,7.3,6.8,5,7.1,590,7.3,1516,7.4,1207
tt0006327,143,6,0,0,6,7,5.5,35,6.1,74
tt0006333,1440,6.2,6,1,6,110,6.3,399,6.2,648
tt0006509,554,4.6,0,0,4.4,6,4.8,64,4.5,459
tt0006517,256,6,0,0,5.5,25,6,72,6.3,100
tt0006589,111,6.8,0,0,6.6,13,6.8,34,6.7,53
tt0006617,186,6.1,0,0,4.8,10,6.2,66,6.3,63
tt0006688,132,6.3,0,0,5.3,12,6.3,36,6.8,65
tt0006731,603,5.3,0,0,5.1,19,5.7,80,5.3,471
tt0006736,122,6.6,0,0,6,14,6.4,34,6.9,58
tt0006745,469,5.8,0,0,5.9,15,6.1,66,5.7,342
tt0006753,126,6.6,0,0,5.3,6,6.7,29,6.5,69
tt0006780,789,6.8,0,0,6.5,72,6.6,229,6.9,309
tt0006809,114,6,0,0,6.1,8,6.2,28,5.9,55
tt0006826,826,5.6,0,0,5.3,23,5.6,141,5.8,587
tt0006864,13116,7.8,7,9,7.9,2033,7.7,4958,7.8,3420
tt0006886,814,7.4,0,0,7.3,69,7.3,237,7.5,372
tt0007047,560,6,0,0,6,15,5.9,82,6.4,429
tt0007183,578,7,0,0,7,106,6.9,204,7,169
tt0007257,553,4.8,0,0,4.9,10,4.9,56,5.3,453
tt0007260,128,6.6,0,0,6.4,15,6.2,26,6.9,65
