year,nomination,film,win
1943,Best Performance by an Actress in a Supporting Role in any Motion Picture,For Whom The Bell Tolls,TRUE
1943,Best Performance by an Actor in a Supporting Role in any Motion Picture,For Whom The Bell Tolls,TRUE
1943,Best Director - Motion Picture,The Song Of Bernadette,TRUE
1943,Picture,The Song Of Bernadette,TRUE
1943,Actress In A Leading Role,The Song Of Bernadette,TRUE
1943,Actor In A Leading Role,Watch On The Rhine,TRUE
1944,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mrs. Parkington,TRUE
1944,Best Performance by an Actor in a Supporting Role in any Motion Picture,Going My Way,TRUE
1944,Best Director - Motion Picture,Going My Way,TRUE
1944,Picture,Going My Way,TRUE
1944,Actress In A Leading Role,Gaslight,TRUE
1944,Actor In A Leading Role,Wilson,TRUE
1945,Best Performance by an Actress in a Supporting Role in any Motion Picture,The Picture of Dorian Gray,TRUE
1945,Best Performance by an Actor in a Supporting Role in any Motion Picture,A Medal For Benny,TRUE
1945,Best Director - Motion Picture,The Lost Weekend,TRUE
1945,Promoting International Understanding,The House I Live In,TRUE
1945,Picture,The Lost Weekend,TRUE
1945,Actress In A Leading Role,The Bells of St. Mary's,TRUE
1945,Actor In A Leading Role,The Lost Weekend,TRUE
1946,Best Performance by an Actress in a Supporting Role in any Motion Picture,The Razor's Edge,TRUE
1946,Best Performance by an Actor in a Supporting Role in any Motion Picture,The Razor's Edge,TRUE
1946,Best Director - Motion Picture,It's A Wonderful Life,TRUE
1946,Promoting International Understanding,The Last Chance,TRUE
1946,Special Achievement Award,The Best Years Of Our Lives,FALSE
1946,Picture,The Best Years Of Our Lives,TRUE
1946,Actress In A Leading Role,Sister Kenny,TRUE
1946,Actor In A Leading Role,The Yearling,TRUE
1947,Best Performance by an Actress in a Supporting Role in any Motion Picture,Gentleman's Agreement,TRUE
1947,Best Performance by an Actor in a Supporting Role in any Motion Picture,Miracle On 34th Street,TRUE
1947,Best Director - Motion Picture,Gentleman's Agreement,TRUE
1947,Best Screenplay - Motion Picture,Miracle On 34th Street,TRUE
1947,Best Original Score - Motion Picture,Life With Father,TRUE
1947,Special Achievement Award,Bambi,FALSE
1947,New Star Of The Year - Actress,That Hagen Girl,TRUE
1947,New Star Of The Year - Actor,Kiss Of Death,TRUE
1947,Picture,Gentleman's Agreement,TRUE
1947,Juvenile Performance,Gentleman's Agreement,TRUE
1947,Actress In A Leading Role,Mourning Becomes Electra,TRUE
1947,Actor In A Leading Role,A Double Life,TRUE
1947,Cinematography,Black Narcissus,TRUE
1948,Best Performance by an Actress in a Supporting Role in any Motion Picture,I Remember Mama,TRUE
1948,Best Performance by an Actor in a Supporting Role in any Motion Picture,The Treasure of the Sierra Madre,TRUE
1948,Best Director - Motion Picture,The Treasure of the Sierra Madre,TRUE
1948,Best Screenplay - Motion Picture,The Search,TRUE
1948,Best Original Score - Motion Picture,The Red Shoes,TRUE
1948,Promoting International Understanding,The Search,TRUE
1948,Picture,Johnny Belinda,TRUE
1948,Picture,The Treasure of the Sierra Madre,TRUE
1948,Juvenile Performance,The Search,TRUE
1948,Actress In A Leading Role,Johnny Belinda,TRUE
1948,Actor In A Leading Role,Hamlet (1948),TRUE
1948,Foreign Film - English Language,Hamlet (1948),TRUE
1948,Cinematography,The Pearl,TRUE
1949,Best Performance by an Actress in a Supporting Role in any Motion Picture,All The King's Men,TRUE
1949,Best Performance by an Actress in a Supporting Role in any Motion Picture,The Heiress,FALSE
1949,Best Performance by an Actor in a Supporting Role in any Motion Picture,Battleground,TRUE
1949,Best Performance by an Actor in a Supporting Role in any Motion Picture,Intruder In The Dust,FALSE
1949,Best Director - Motion Picture,All The King's Men,TRUE
1949,Best Director - Motion Picture,The Heiress,FALSE
1949,Best Screenplay - Motion Picture,Battleground,TRUE
1949,Best Screenplay - Motion Picture,Rope of Sand,FALSE
1949,Best Motion Picture - Foreign Language,"Italy, Vittorio De Sica",TRUE
1949,Best Motion Picture - Foreign Language,"United Kingdom, Carol Reed",FALSE
1949,Best Original Score - Motion Picture,The Inspector General,TRUE
1949,Best Original Score - Motion Picture,All The King's Men,FALSE
1949,Promoting International Understanding,The Hasty Heart,TRUE
1949,Promoting International Understanding,Monsieur Vincent,FALSE
1949,New Star Of The Year - Actress,All The King's Men,TRUE
1949,New Star Of The Year - Actress,Champion,FALSE
1949,New Star Of The Year - Actor,The Hasty Heart,TRUE
1949,New Star Of The Year - Actor,Intruder In The Dust,FALSE
1949,Outstanding Use Of Color,The Adventures of Ichabod and Mr. Toad,TRUE
1949,Outstanding Use Of Color,On The Town,FALSE
1949,Picture,All The King's Men,TRUE
1949,Picture,Come To The Stable,FALSE
1949,Actress In A Leading Role,The Heiress,TRUE
1949,Actress In A Leading Role,"Edward, My Son",FALSE
1949,Actor In A Leading Role,All The King's Men,TRUE
1949,Actor In A Leading Role,The Hasty Heart,FALSE
1949,Cinematography,Champion,TRUE
1949,Cinematography,All The King's Men,FALSE
1950,Best Performance by an Actress in a Motion Picture - Drama,Sunset Boulevard,TRUE
1950,Best Performance by an Actress in a Motion Picture - Drama,All About Eve,FALSE
1950,Best Performance by an Actress in a Motion Picture - Drama,Born Yesterday,FALSE
1950,Best Performance by an Actor in a Motion Picture - Drama,Cyrano de Bergerac (1950),TRUE
1950,Best Performance by an Actor in a Motion Picture - Drama,The Magnificent Yankee,FALSE
1950,Best Performance by an Actor in a Motion Picture - Drama,Harvey,FALSE
1950,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Three Little Words,TRUE
1950,Best Performance by an Actor in a Motion Picture - Musical or Comedy,When Willie Comes Marching Home,FALSE
1950,Best Performance by an Actor in a Motion Picture - Musical or Comedy,The Sin Of Harold Diddlebock,FALSE
1950,Best Performance by an Actress in a Supporting Role in any Motion Picture,Harvey,TRUE
1950,Best Performance by an Actress in a Supporting Role in any Motion Picture,Adam's Rib,FALSE
1950,Best Performance by an Actress in a Supporting Role in any Motion Picture,All About Eve,FALSE
1950,Best Performance by an Actor in a Supporting Role in any Motion Picture,Mister 880,TRUE
1950,Best Performance by an Actor in a Supporting Role in any Motion Picture,Sunset Boulevard,FALSE
1950,Best Performance by an Actor in a Supporting Role in any Motion Picture,All About Eve,FALSE
1950,Best Director - Motion Picture,Sunset Boulevard,TRUE
1950,Best Director - Motion Picture,Born Yesterday,FALSE
1950,Best Director - Motion Picture,The Asphalt Jungle,FALSE
1950,Best Director - Motion Picture,All About Eve,FALSE
1950,Best Screenplay - Motion Picture,All About Eve,TRUE
1950,Best Screenplay - Motion Picture,Sunset Boulevard,FALSE
1950,Best Screenplay - Motion Picture,The Asphalt Jungle,FALSE
1950,Best Original Score - Motion Picture,Sunset Boulevard,TRUE
1950,Best Original Score - Motion Picture,Destination Moon,FALSE
1950,Best Original Score - Motion Picture,A Life Of Her Own,FALSE
1950,Promoting International Understanding,Broken Arrow,TRUE
1950,Promoting International Understanding,The Big Lift,FALSE
1950,Promoting International Understanding,The Next Voice You Hear...,FALSE
1950,New Star Of The Year,Tea For Two,TRUE
1950,New Star Of The Year,Cyrano de Bergerac (1950),FALSE
1950,New Star Of The Year,Three Little Words,FALSE
1950,Picture,Sunset Boulevard,TRUE
1950,Picture,Born Yesterday,FALSE
1950,Picture,Cyrano de Bergerac (1950),FALSE
1950,Actress In A Leading Role - Musical Or Comedy,Born Yesterday,TRUE
1950,Actress In A Leading Role - Musical Or Comedy,Louisa,FALSE
1950,Actress In A Leading Role - Musical Or Comedy,Annie Get Your Gun,FALSE
1950,Henrietta Award (World Film Favorites),,TRUE
1950,Henrietta Award (World Film Favorites),,TRUE
1950,Cinematography - Color,King Solomon's Mines,TRUE
1950,Cinematography - Color,Broken Arrow,FALSE
1950,Cinematography - Color,Samson and Delilah,FALSE
1950,Cinematography - Black And White,Cyrano de Bergerac (1950),TRUE
1950,Cinematography - Black And White,The Asphalt Jungle,FALSE
1950,Cinematography - Black And White,Sunset Boulevard,FALSE
1951,Best Motion Picture - Drama,A Place In The Sun,TRUE
1951,Best Motion Picture - Drama,Quo Vadis?,FALSE
1951,Best Motion Picture - Drama,A Streetcar Named Desire (1951),FALSE
1951,Best Motion Picture - Drama,Bright Victory,FALSE
1951,Best Motion Picture - Drama,Detective Story,FALSE
1951,Best Motion Picture - Musical or Comedy,An American In Paris,TRUE
1951,Best Performance by an Actress in a Motion Picture - Drama,The Blue Veil,TRUE
1951,Best Performance by an Actress in a Motion Picture - Drama,A Streetcar Named Desire (1951),FALSE
1951,Best Performance by an Actress in a Motion Picture - Drama,A Place In The Sun,FALSE
1951,Best Performance by an Actor in a Motion Picture - Drama,Death of a Salesman (1951),TRUE
1951,Best Performance by an Actor in a Motion Picture - Drama,Detective Story,FALSE
1951,Best Performance by an Actor in a Motion Picture - Drama,Bright Victory,FALSE
1951,Best Performance by an Actor in a Motion Picture - Musical or Comedy,On The Riviera,TRUE
1951,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Here Comes The Groom,FALSE
1951,Best Performance by an Actor in a Motion Picture - Musical or Comedy,An American In Paris,FALSE
1951,Best Performance by an Actress in a Supporting Role in any Motion Picture,A Streetcar Named Desire (1951),TRUE
1951,Best Performance by an Actress in a Supporting Role in any Motion Picture,Detective Story,FALSE
1951,Best Performance by an Actress in a Supporting Role in any Motion Picture,"Mating Season, The",FALSE
1951,Best Performance by an Actor in a Supporting Role in any Motion Picture,Quo Vadis?,TRUE
1951,Best Director - Motion Picture,Death of a Salesman (1951),TRUE
