id,rating,votes,avg_0-18,num_0-18,avg_18-30,num_18-30,avg_30-45,num_30-45,avg_45up,num_45up
tt0000574,6.1,393,6,1,6.2,112,5.9,186,6.4,85
tt0001892,6,131,0,0,5.8,21,6,56,6.3,50
tt0002101,5,278,0,0,4.6,20,5.1,89,5.2,159
tt0002130,7,1464,8,1,7,371,7,701,7,346
tt0002199,5.8,318,0,0,5.8,34,5.7,142,5.8,131
tt0002423,6.7,497,0,0,6.5,49,6.5,220,6.9,217
tt0002445,6.2,168,0,0,5.9,28,6.4,73,6.2,59
tt0002452,6.7,144,0,0,7.3,24,6.6,87,6.5,29
tt0002461,5.5,156,0,0,5.4,15,5.3,80,5.7,56
tt0002646,6.6,214,0,0,6.4,30,6.6,100,6.8,75
tt0002844,6.9,1371,0,0,6.9,212,6.9,700,7.1,436
tt0003014,7,640,0,0,7,135,6.9,305,7.1,189
tt0003037,6.9,954,0,0,6.8,128,6.9,481,7.1,330
tt0003131,6.7,79,0,0,6.1,16,6.5,34,7.5,28
tt0003165,6.9,749,0,0,6.9,104,6.8,366,7.1,265
tt0003167,5.6,112,0,0,5.2,13,5.4,39,5.8,55
tt0003419,6.5,1154,0,0,6.4,199,6.5,585,6.4,341
tt0003471,6,379,0,0,5.5,41,5.7,144,6.4,187
tt0003489,6.2,316,0,0,6,33,5.9,119,6.5,155
tt0003637,6.4,240,0,0,6.1,41,6.1,98,6.8,92
tt0003643,6.5,661,0,0,6.4,74,6.4,223,6.5,354
tt0003657,6.6,92,0,0,6.9,7,5.9,24,6.9,57
tt0003740,7.1,1987,0,0,7.1,350,7,869,7.3,728
tt0003772,6,522,0,0,5.7,33,6,161,6.2,321
tt0003883,7.5,208,0,0,7.2,26,7.4,87,7.6,88
tt0003930,6.9,834,0,0,6.8,107,6.9,420,6.9,292
tt0003952,6.8,661,0,0,6.8,93,6.7,331,7,223
tt0003973,5.8,117,0,0,5.4,16,5.5,54,6.2,43
tt0004026,6.8,625,0,0,6.5,43,6.6,311,7.3,260
tt0004066,7,317,0,0,6.6,54,7,146,7.1,109
tt0004099,5.4,291,0,0,5.3,28,5.2,122,5.6,136
tt0004134,6.5,258,0,0,6,30,6.4,104,6.7,118
tt0004150,5.8,275,0,0,6,41,5.6,114,6.1,113
tt0004181,6.2,757,0,0,6.3,75,6.3,287,5.9,380
tt0004457,5.5,249,0,0,4.9,28,5.3,101,6.1,116
tt0004465,6.3,552,0,0,5.8,49,6.4,158,6.3,334
tt0004635,5.8,531,0,0,5.8,49,5.6,153,6,319
tt0004681,6.2,109,0,0,5.5,15,5.9,42,6.8,47
tt0004707,6.3,2055,0,0,6.2,223,6.2,880,6.4,916
tt0004712,6.3,107,0,0,6.7,22,6.3,41,6.2,42
tt0004766,5.5,113,0,0,5.7,10,5.2,39,5.7,62
tt0004825,6.6,161,0,0,7,13,6.5,75,6.9,69
tt0004838,5.7,97,0,0,5.5,7,5.4,46,6.1,40
tt0004872,6.7,137,0,0,6.4,12,6.7,54,6.9,66
tt0004873,6.1,220,0,0,6.3,39,5.8,97,6.4,77
tt0004972,6.5,14064,3.5,12,6.3,2890,6.4,7071,6.9,3739
tt0005060,6.4,530,0,0,6.4,44,6.5,175,6.3,299
tt0005078,6.6,1459,0,0,6.4,234,6.4,652,6.9,545
tt0005149,6.1,169,0,0,7.2,9,5.4,49,6.2,108
tt0005339,5.8,474,0,0,5.6,59,5.8,183,5.9,220
tt0005402,6.5,127,0,0,6,3,5.9,37,6.8,85
tt0005529,6.7,187,0,0,6.8,34,6.7,83,6.8,64
tt0005557,6.7,180,0,0,6.7,21,6.3,67,6.9,88
tt0005719,5.7,92,0,0,5.1,6,5,30,6.1,52
tt0005809,6.2,202,0,0,7.6,20,6.6,141,5,41
tt0005916,6.9,534,0,0,6.8,85,6.9,255,7,183
tt0005951,6.8,370,8,1,7,85,6.9,172,6.5,104
tt0005960,6.8,734,0,0,6.6,98,6.8,292,6.9,324
tt0006206,7.3,2692,6.8,5,7.2,473,7.3,1271,7.3,895
