id,director
tt0000574,Charles Tait
tt0001892,Urban Gad
tt0002101,Charles L. Gaskill
tt0002130,Francesco Bertolini
tt0002199,Sidney Olcott
tt0002423,Ernst Lubitsch
tt0002445,Enrico Guazzoni
tt0002452,Aristide Demetriade
tt0002461,André Calmettes
tt0002646,August Blom
tt0002844,Louis Feuillade
tt0003014,Victor Sjöström
tt0003037,Louis Feuillade
tt0003131,Alfred Machin
tt0003165,Louis Feuillade
tt0003167,D.W. Griffith
tt0003419,Paul Wegener
tt0003471,George Loane Tucker
tt0003489,Mario Caserini
tt0003637,Francesca Bertini
tt0003643,D.W. Griffith
tt0003657,Reginald Barker
tt0003740,Giovanni Pastrone
tt0003772,James Kirkwood
tt0003883,Léonce Perret
tt0003930,Louis Feuillade
tt0003952,Louis Feuillade
tt0003973,Sidney Drew
tt0004026,Henrik Galeen
tt0004066,Benjamin Christensen
tt0004099,J. Farrell MacDonald
tt0004134,Lois Weber
tt0004150,Edward S. Curtis
tt0004181,D.W. Griffith
tt0004457,J. Farrell MacDonald
tt0004465,Louis J. Gasnier
tt0004635,Oscar Apfel
tt0004681,Edwin S. Porter
tt0004707,Mack Sennett
tt0004712,Michael Curtiz
tt0004766,Cecil B. DeMille
tt0004825,Maurice Tourneur
tt0004838,Reginald Barker
tt0004872,Maurice Tourneur
tt0004873,W.W. Young
tt0004972,D.W. Griffith
tt0005060,Cecil B. DeMille
tt0005078,Cecil B. DeMille
tt0005149,Reginald Barker
tt0005339,Frank Powell
tt0005402,Cecil B. DeMille
tt0005529,Benjamin Christensen
tt0005557,Reginald Barker
tt0005719,Christy Cabanne
tt0005809,Edgar Lewis
tt0005916,Yevgeny Bauer
tt0005951,Nino Oxilia
tt0005960,Raoul Walsh
tt0006206,Louis Feuillade
tt0006327,George Melford
tt0006333,Stuart Paton
tt0006509,Chester M. Franklin
tt0006517,Reginald Barker
tt0006589,Chester Withey
tt0006617,Victor Sjöström
tt0006688,Christy Cabanne
tt0006731,Chester M. Franklin
tt0006736,Allan Dwan
tt0006745,Chester M. Franklin
tt0006753,Allan Dwan
tt0006780,Charles Swickard
tt0006809,John Emerson
tt0006826,Lloyd Ingraham
tt0006864,D.W. Griffith
tt0006886,Louis Feuillade
tt0007047,Paul Powell
tt0007183,Yakov Protazanov
tt0007257,Christy Cabanne
tt0007260,William S. Hart
tt0007309,Ernst Lubitsch
tt0007338,Arthur Berthelet
tt0007340,Lois Weber
tt0007361,J. Searle Dawley
tt0007367,John Emerson
tt0007558,Phillips Smalley
tt0007610,Ruth Ann Baldwin
tt0007755,John Ford
tt0007801,J. Gordon Edwards
tt0007983,Robert Wiene
tt0008011,Maurice Tourneur
tt0008100,Holger-Madsen
tt0008150,Cecil B. DeMille
tt0008188,Cecil B. DeMille
tt0008196,Marshall Neilan
tt0008309,Allan Dwan
tt0008395,Yakov Protazanov
tt0008443,Maurice Tourneur
tt0008489,George Irving
tt0008499,Marshall Neilan
tt0008519,Cecil B. DeMille
tt0008536,Yakov Protazanov
tt0008634,John Ford
tt0008663,Victor Sjöström
tt0008672,Mauritz Stiller
tt0008679,Harry Davenport
tt0008687,William Desmond Taylor
tt0008710,Victor Sjöström
tt0008775,John Emerson
tt0008827,Marshall Neilan
tt0008843,Alexander Korda
tt0008854,Ernst Lubitsch
tt0008879,Victor Sjöström
tt0008891,Maurice Tourneur
tt0008950,Ernst Lubitsch
tt0009014,Abel Gance
tt0009062,Ernst Lubitsch
tt0009086,Sidney Franklin
