id,duration,country
tt0000574,70,Australia
tt0001892,53,Germany
tt0002101,100,USA
tt0002130,68,Italy
tt0002199,60,USA
tt0002423,85,Germany
tt0002445,120,Italy
tt0002452,120,Romania
tt0002461,55,France
tt0002646,121,Denmark
tt0002844,54,France
tt0003014,96,Sweden
tt0003037,61,France
tt0003131,50,Belgium
tt0003165,90,France
tt0003167,55,USA
tt0003419,85,Germany
tt0003471,88,USA
tt0003489,88,Italy
tt0003637,72,Italy
tt0003643,78,USA
tt0003657,70,USA
tt0003740,148,Italy
tt0003772,52,USA
tt0003883,100,France
tt0003930,59,France
tt0003952,70,France
tt0003973,63,USA
tt0004026,60,Germany
tt0004066,84,Denmark
tt0004099,59,USA
tt0004134,54,USA
tt0004150,65,USA
tt0004181,61,USA
tt0004457,81,USA
tt0004465,199,USA
tt0004635,74,USA
tt0004681,80,USA
tt0004707,82,USA
tt0004712,67,Hungary
tt0004766,55,USA
tt0004825,54,USA
tt0004838,56,USA
tt0004872,50,USA
tt0004873,52,USA
tt0004972,195,USA
tt0005060,59,USA
tt0005078,59,USA
tt0005149,77,USA
tt0005339,67,USA
tt0005402,74,USA
tt0005529,100,Denmark
tt0005557,78,USA
tt0005719,71,USA
tt0005809,50,USA
tt0005916,46,Russia
tt0005951,55,Italy
tt0005960,72,USA
tt0006206,421,France
tt0006327,59,USA
tt0006333,105,USA
tt0006509,50,USA
tt0006517,78,USA
tt0006589,59,USA
tt0006617,60,Sweden
tt0006688,57,USA
tt0006731,60,USA
tt0006736,50,USA
tt0006745,58,USA
tt0006753,73,USA
tt0006780,64,USA
tt0006809,62,USA
tt0006826,65,USA
tt0006864,163,USA
tt0006886,300,France
tt0007047,46,USA
tt0007183,63,Russia
tt0007257,50,USA
tt0007260,50,USA
tt0007309,45,Germany
tt0007338,116,USA
tt0007340,60,USA
tt0007361,63,USA
tt0007367,52,USA
tt0007558,62,USA
tt0007610,61,USA
tt0007755,53,USA
tt0007801,125,USA
tt0007983,72,Germany
tt0008011,65,USA
tt0008100,97,Denmark
tt0008150,138,USA
tt0008188,80,USA
tt0008196,62,USA
tt0008309,68,USA
tt0008395,112,Russia
tt0008443,65,USA
tt0008489,70,USA
tt0008499,78,USA
tt0008519,70,USA
tt0008536,87,Russia
tt0008634,57,USA
tt0008663,48,Sweden
tt0008672,90,Sweden
tt0008679,48,USA
tt0008687,59,USA
tt0008710,87,Sweden
tt0008775,72,USA
tt0008827,67,USA
tt0008843,83,Hungary
tt0008854,63,Germany
tt0008879,136,Sweden
tt0008891,75,USA
tt0008950,70,Germany
tt0009014,94,France
tt0009062,48,Germany
tt0009086,62,USA
tt0009150,117,USA
tt0009241,72,USA
tt0009326,73,USA
tt0009356,71,USA
tt0009369,93,USA
tt0009440,60,USA
tt0009475,60,USA
tt0009559,76,USA
tt0009608,60,USA
tt0009611,45,USA
tt0009652,84,USA
tt0009682,73,USA
tt0009701,418,France
tt0009796,86,USA
tt0009878,50,Germany
tt0009892,80,USA
tt0009893,58,Germany
tt0009894,223,Mexico
tt0009900,73,Canada
tt0009915,70,USA
tt0009937,99,USA
tt0009968,90,USA
tt0009976,63,USA
tt0010040,85,USA
tt0010060,63,USA
tt0010071,71,USA
tt0010103,78,USA
tt0010137,70,USA
tt0010162,65,USA
tt0010193,80,USA
tt0010195,71,USA
tt0010208,80,Germany
tt0010219,57,USA
tt0010227,87,USA
tt0010247,122,Sweden
tt0010267,78,USA
tt0010281,45,Germany
tt0010307,166,France
tt0010323,76,Germany
tt0010418,116,USA
tt0010456,58,Germany
tt0010466,80,USA
tt0010484,95,USA
tt0010559,92,Germany
tt0010598,75,Denmark
tt0010600,48,Germany
tt0010635,58,USA
tt0010662,77,USA
