year,nomination,film,win
1927,ACTOR,The Noose,FALSE
1927,ACTOR,The Last Command,TRUE
1927,ACTRESS,A Ship Comes In,FALSE
1927,ACTRESS,7th Heaven,TRUE
1927,ACTRESS,Sadie Thompson,FALSE
1927,ART DIRECTION,Sunrise,FALSE
1927,ART DIRECTION,The Dove;,TRUE
1927,ART DIRECTION,7th Heaven,FALSE
1927,CINEMATOGRAPHY,The Devil Dancer;,FALSE
1927,CINEMATOGRAPHY,Sunrise,TRUE
1927,CINEMATOGRAPHY,Sunrise,TRUE
1927,DIRECTING (Comedy Picture),Two Arabian Knights,TRUE
1927,DIRECTING (Comedy Picture),Speedy,FALSE
1927,DIRECTING (Dramatic Picture),7th Heaven,TRUE
1927,DIRECTING (Dramatic Picture),Sorrell and Son,FALSE
1927,DIRECTING (Dramatic Picture),The Crowd,FALSE
1927,ENGINEERING EFFECTS,,FALSE
1927,ENGINEERING EFFECTS,Wings,TRUE
1927,ENGINEERING EFFECTS,,FALSE
1927,OUTSTANDING PICTURE,The Racket,FALSE
1927,OUTSTANDING PICTURE,7th Heaven,FALSE
1927,OUTSTANDING PICTURE,Wings,TRUE
1927,UNIQUE AND ARTISTIC PICTURE,Sunrise,TRUE
1927,UNIQUE AND ARTISTIC PICTURE,The Crowd,FALSE
1927,UNIQUE AND ARTISTIC PICTURE,Chang,FALSE
1927,WRITING (Adaptation),The Jazz Singer,FALSE
1927,WRITING (Adaptation),Glorious Betsy,FALSE
1927,WRITING (Adaptation),7th Heaven,TRUE
1927,WRITING (Original Story),The Last Command,FALSE
1927,WRITING (Original Story),Underworld,TRUE
1927,WRITING (Title Writing),The Private Life of Helen of Troy,FALSE
1927,WRITING (Title Writing),,TRUE
1927,WRITING (Title Writing),,FALSE
1927,SPECIAL AWARD,,TRUE
1927,SPECIAL AWARD,,TRUE
1928,ACTOR,Thunderbolt,FALSE
1928,ACTOR,In Old Arizona,TRUE
1928,ACTOR,Alibi,FALSE
1928,ACTOR,The Valiant,FALSE
1928,ACTOR,The Patriot,FALSE
1928,ACTRESS,Madame X,FALSE
1928,ACTRESS,The Barker,FALSE
1928,ACTRESS,The Letter,FALSE
1928,ACTRESS,The Divine Lady,FALSE
1928,ACTRESS,The Broadway Melody,FALSE
1928,ACTRESS,Coquette,TRUE
1928,ART DIRECTION,The Patriot,FALSE
1928,ART DIRECTION,The Bridge of San Luis Rey,TRUE
1928,ART DIRECTION,Dynamite,FALSE
1928,ART DIRECTION,Alibi;,FALSE
1928,ART DIRECTION,Street Angel,FALSE
1928,CINEMATOGRAPHY,Our Dancing Daughters,FALSE
1928,CINEMATOGRAPHY,White Shadows in the South Seas,TRUE
1928,CINEMATOGRAPHY,In Old Arizona,FALSE
1928,CINEMATOGRAPHY,Four Devils;,FALSE
1928,CINEMATOGRAPHY,The Divine Lady,FALSE
1928,DIRECTING,Madame X,FALSE
1928,DIRECTING,The Broadway Melody,FALSE
1928,DIRECTING,In Old Arizona,FALSE
1928,DIRECTING,The Divine Lady,TRUE
1928,DIRECTING,Drag;,FALSE
1928,DIRECTING,The Patriot,FALSE
1928,OUTSTANDING PICTURE,Alibi,FALSE
1928,OUTSTANDING PICTURE,In Old Arizona,FALSE
1928,OUTSTANDING PICTURE,The Broadway Melody,TRUE
1928,OUTSTANDING PICTURE,Hollywood Revue,FALSE
1928,OUTSTANDING PICTURE,The Patriot,FALSE
1928,WRITING,In Old Arizona;,FALSE
1928,WRITING,The Cop;,FALSE
1928,WRITING,The Last of Mrs. Cheyney,FALSE
1928,WRITING,The Patriot,TRUE
1928,WRITING,Our Dancing Daughters,FALSE
1928,WRITING,A Woman of Affairs;,FALSE
1929,ACTOR,Disraeli,TRUE
1929,ACTOR,The Green Goddess,FALSE
1929,ACTOR,The Big House,FALSE
1929,ACTOR,The Big Pond,FALSE
1929,ACTOR,Bulldog Drummond,FALSE
1929,ACTOR,The Rogue Song,FALSE
1929,ACTRESS,The Devil's Holiday,FALSE
1929,ACTRESS,Sarah and Son,FALSE
1929,ACTRESS,Anna Christie,FALSE
1929,ACTRESS,The Divorcee,TRUE
1929,ACTRESS,Their Own Desire,FALSE
1929,ACTRESS,The Trespasser,FALSE
1929,ART DIRECTION,Bulldog Drummond,FALSE
1929,ART DIRECTION,King of Jazz,TRUE
1929,ART DIRECTION,The Love Parade,FALSE
1929,ART DIRECTION,Sally,FALSE
1929,ART DIRECTION,The Vagabond King,FALSE
1929,CINEMATOGRAPHY,All Quiet on the Western Front,FALSE
1929,CINEMATOGRAPHY,Anna Christie,FALSE
1929,CINEMATOGRAPHY,Hell's Angels,FALSE
1929,CINEMATOGRAPHY,The Love Parade,FALSE
1929,CINEMATOGRAPHY,With Byrd at the South Pole,TRUE
1929,DIRECTING,Anna Christie;,FALSE
1929,DIRECTING,The Divorcee,FALSE
1929,DIRECTING,The Love Parade,FALSE
1929,DIRECTING,All Quiet on the Western Front,TRUE
1929,DIRECTING,Hallelujah,FALSE
