id,title,year,genre
tt0000574,The Story of the Kelly Gang,1906,"Biography, Crime, Drama"
tt0001892,Den sorte drøm,1911,Drama
tt0002101,Cleopatra,1912,"Drama, History"
tt0002130,L'Inferno,1911,"Adventure, Drama, Fantasy"
tt0002199,"From the Manger to the Cross; or, Jesus of Nazareth",1912,"Biography, Drama"
tt0002423,Madame DuBarry,1919,"Biography, Drama, Romance"
tt0002445,Quo Vadis?,1913,"Drama, History"
tt0002452,Independenta Romaniei,1912,"History, War"
tt0002461,Richard III,1912,Drama
tt0002646,Atlantis,1913,Drama
tt0002844,Fantômas - ? l'ombre de la guillotine,1913,"Crime, Drama"
tt0003014,Ingeborg Holm,1913,Drama
tt0003037,Juve contre Fantômas,1913,"Crime, Drama"
tt0003131,Maudite soit la guerre,1914,"Drama, War"
tt0003165,Le mort qui tue,1913,"Crime, Drama, Mystery"
tt0003167,"Home, Sweet Home",1914,Drama
tt0003419,Der Student von Prag,1913,"Drama, Fantasy, Horror"
tt0003471,Traffic in Souls,1913,"Crime, Drama"
tt0003489,Gli ultimi giorni di Pompei,1913,"Adventure, Drama"
tt0003637,Assunta Spina,1915,Drama
tt0003643,The Avenging Conscience: or 'Thou Shalt Not Kill',1914,"Crime, Drama, Horror"
tt0003657,The Bargain,1914,Western
tt0003740,Cabiria,1914,"Adventure, Drama, History"
tt0003772,Cinderella,1914,"Fantasy, Drama"
tt0003883,L'enfant de Paris,1913,"Crime, Drama"
tt0003930,Fantômas contre Fantômas,1914,"Crime, Drama"
tt0003952,Le faux magistrat,1914,"Crime, Drama"
tt0003973,A Florida Enchantment,1914,Comedy
tt0004026,Der Golem,1915,Horror
tt0004066,Det hemmelighedsfulde X,1914,"Drama, Mystery"
tt0004099,"His Majesty, the Scarecrow of Oz",1914,"Family, Fantasy, Adventure"
tt0004134,Hypocrites,1915,Drama
tt0004150,In the Land of the Head Hunters,1914,"Drama, History"
tt0004181,Judith of Bethulia,1914,Drama
tt0004457,The Patchwork Girl of Oz,1914,"Adventure, Family, Fantasy"
tt0004465,The Perils of Pauline,1914,"Action, Adventure, Drama"
tt0004635,The Squaw Man,1914,"Action, Drama, Romance"
tt0004681,Tess of the Storm Country,1914,Drama
tt0004707,Tillie's Punctured Romance,1914,Comedy
tt0004712,A tolonc,1915,Drama
tt0004766,The Virginian,1914,Western
tt0004825,The Wishing Ring: An Idyll of Old England,1914,"Comedy, Drama"
tt0004838,The Wrath of the Gods,1914,"Drama, Romance"
tt0004872,Alias Jimmy Valentine,1915,"Crime, Drama"
tt0004873,Alice in Wonderland,1915,"Adventure, Family, Fantasy"
tt0004972,The Birth of a Nation,1915,"Drama, History, War"
tt0005060,Carmen,1915,Drama
tt0005078,The Cheat,1915,"Drama, Romance"
tt0005149,The Coward,1915,"Drama, History, War"
tt0005339,A Fool There Was,1915,Drama
tt0005402,The Golden Chance,1915,Drama
tt0005529,Hævnens Nat,1916,"Crime, Drama, Horror"
tt0005557,The Italian,1915,Drama
tt0005719,Martyrs of the Alamo,1915,"Drama, History, War"
tt0005809,The Nigger,1915,Drama
tt0005916,Posle smerti,1915,Drama
tt0005951,Rapsodia satanica,1917,"Drama, Fantasy, Horror"
tt0005960,The Regeneration,1915,"Biography, Crime, Drama"
tt0006206,Les vampires,1915,"Action, Adventure, Crime"
tt0006327,Young Romance,1915,Comedy
tt0006333,"20,000 Leagues Under the Sea",1916,"Action, Adventure, Sci-Fi"
tt0006509,The Children in the House,1916,Drama
tt0006517,Civilization,1915,Drama
tt0006589,The Devil's Needle,1916,Drama
tt0006617,Dödskyssen,1916,"Comedy, Crime, Drama"
tt0006688,Flirting with Fate,1916,"Adventure, Comedy"
tt0006731,Going Straight,1916,"Crime, Drama"
tt0006736,The Good Bad-Man,1916,"Romance, Western"
tt0006745,Gretchen the Greenhorn,1916,"Crime, Drama, Romance"
tt0006753,The Half-Breed,1916,Western
tt0006780,Hell's Hinges,1916,"Romance, Western"
tt0006809,His Picture in the Papers,1916,Comedy
