id,duration,country,director
tt0000574,70,Australia,Charles Tait
tt0001892,53,"Germany, Denmark",Urban Gad
tt0002101,100,USA,Charles L. Gaskill
tt0002130,68,Italy,"Francesco Bertolini, Adolfo Padovan"
tt0002199,60,USA,Sidney Olcott
tt0002423,85,Germany,Ernst Lubitsch
tt0002445,120,Italy,Enrico Guazzoni
tt0002452,120,Romania,Aristide Demetriade
tt0002461,55,"France, USA","Andr矇 Calmettes, James Keane"
tt0002646,121,Denmark,August Blom
tt0002844,54,France,Louis Feuillade
tt0003014,96,Sweden,Victor Sj繹str繹m
tt0003037,61,France,Louis Feuillade
tt0003131,50,Belgium,Alfred Machin
tt0003165,90,France,Louis Feuillade
tt0003167,55,USA,D.W. Griffith
tt0003419,85,Germany,"Paul Wegener, Stellan Rye"
tt0003471,88,USA,George Loane Tucker
tt0003489,88,Italy,"Mario Caserini, Eleuterio Rodolfi"
tt0003637,72,Italy,"Francesca Bertini, Gustavo Serena"
tt0003643,78,USA,D.W. Griffith
tt0003657,70,USA,Reginald Barker
tt0003740,148,Italy,Giovanni Pastrone
tt0003772,52,USA,James Kirkwood
tt0003883,100,France,L矇once Perret
tt0003930,59,France,Louis Feuillade
tt0003952,70,France,Louis Feuillade
tt0003973,63,USA,Sidney Drew
tt0004026,60,Germany,"Henrik Galeen, Paul Wegener"
tt0004066,84,Denmark,Benjamin Christensen
tt0004099,59,USA,J. Farrell MacDonald
tt0004134,54,USA,Lois Weber
tt0004150,65,USA,Edward S. Curtis
tt0004181,61,USA,D.W. Griffith
tt0004457,81,USA,J. Farrell MacDonald
tt0004465,199,USA,"Louis J. Gasnier, Donald MacKenzie"
tt0004635,74,USA,"Oscar Apfel, Cecil B. DeMille"
tt0004681,80,USA,Edwin S. Porter
tt0004707,82,USA,"Mack Sennett, Charles Bennett"
tt0004712,67,Hungary,Michael Curtiz
tt0004766,55,USA,Cecil B. DeMille
tt0004825,54,USA,Maurice Tourneur
tt0004838,56,USA,Reginald Barker
tt0004872,50,USA,Maurice Tourneur
tt0004873,52,USA,W.W. Young
tt0004972,195,USA,D.W. Griffith
tt0005060,59,USA,Cecil B. DeMille
tt0005078,59,USA,Cecil B. DeMille
tt0005149,77,USA,"Reginald Barker, Thomas H. Ince"
tt0005339,67,USA,Frank Powell
tt0005402,74,USA,Cecil B. DeMille
tt0005529,100,Denmark,Benjamin Christensen
tt0005557,78,USA,Reginald Barker
tt0005719,71,USA,Christy Cabanne
tt0005809,50,USA,Edgar Lewis
tt0005916,46,Russia,Yevgeny Bauer
tt0005951,55,Italy,Nino Oxilia
tt0005960,72,USA,Raoul Walsh
tt0006206,421,France,Louis Feuillade
tt0006327,59,USA,George Melford
tt0006333,105,USA,Stuart Paton
tt0006509,50,USA,"Chester M. Franklin, Sidney Franklin"
tt0006517,78,USA,"Reginald Barker, Thomas H. Ince"
tt0006589,59,USA,Chester Withey
tt0006617,60,Sweden,Victor Sj繹str繹m
tt0006688,57,USA,Christy Cabanne
tt0006731,60,USA,"Chester M. Franklin, Sidney Franklin"
tt0006736,50,USA,Allan Dwan
tt0006745,58,USA,"Chester M. Franklin, Sidney Franklin"
tt0006753,73,USA,Allan Dwan
tt0006780,64,USA,"Charles Swickard, William S. Hart"
tt0006809,62,USA,John Emerson
tt0006826,65,USA,Lloyd Ingraham
tt0006864,163,USA,D.W. Griffith
tt0006886,300,France,Louis Feuillade
tt0007047,46,USA,Paul Powell
tt0007183,63,Russia,Yakov Protazanov
tt0007257,50,USA,Christy Cabanne
tt0007260,50,USA,William S. Hart
tt0007309,45,Germany,Ernst Lubitsch
tt0007338,116,USA,Arthur Berthelet
tt0007340,60,USA,Lois Weber
tt0007361,63,USA,J. Searle Dawley
tt0007367,52,USA,John Emerson
tt0007558,62,USA,"Phillips Smalley, Lois Weber"
tt0007610,61,USA,Ruth Ann Baldwin
tt0007755,53,USA,John Ford
tt0007801,125,USA,J. Gordon Edwards
tt0007983,72,Germany,Robert Wiene
tt0008011,65,USA,Maurice Tourneur
tt0008100,97,Denmark,Holger-Madsen
tt0008150,138,USA,Cecil B. DeMille
tt0008188,80,USA,"Cecil B. DeMille, Joseph Levering"
tt0008196,62,USA,Marshall Neilan
tt0008309,68,USA,Allan Dwan
tt0008395,112,Russia,"Yakov Protazanov, Alexandre Volkoff"
tt0008443,65,USA,Maurice Tourneur
tt0008489,70,USA,George Irving
tt0008499,78,USA,Marshall Neilan
tt0008519,70,USA,Cecil B. DeMille
tt0008536,87,Russia,Yakov Protazanov
tt0008634,57,USA,John Ford
tt0008663,48,Sweden,Victor Sj繹str繹m
tt0008672,90,Sweden,Mauritz Stiller
tt0008679,48,USA,Harry Davenport
tt0008687,59,USA,William Desmond Taylor
tt0008710,87,Sweden,Victor Sj繹str繹m
tt0008775,72,USA,John Emerson
tt0008827,67,USA,Marshall Neilan
tt0008843,83,Hungary,Alexander Korda
tt0008854,63,Germany,Ernst Lubitsch
tt0008879,136,Sweden,Victor Sj繹str繹m
